[INFO] 2025-09-08 16:02:07,911 autoreload Watching for file changes with StatReloader
[INFO] 2025-09-08 16:02:13,628 basehttp "GET / HTTP/1.1" 200 10664
[WARNING] 2025-09-08 16:02:14,041 log Not Found: /favicon.ico
[WARNING] 2025-09-08 16:02:14,042 basehttp "GET /favicon.ico HTTP/1.1" 404 2121
[INFO] 2025-09-08 16:02:27,135 basehttp "GET /admin/ HTTP/1.1" 302 0
[INFO] 2025-09-08 16:02:27,361 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
[INFO] 2025-09-08 16:02:27,498 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 958
[INFO] 2025-09-08 16:02:27,498 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
[INFO] 2025-09-08 16:02:27,502 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
[INFO] 2025-09-08 16:02:27,504 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
[INFO] 2025-09-08 16:02:27,506 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
[INFO] 2025-09-08 16:02:27,541 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 21207
[INFO] 2025-09-08 16:02:27,591 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 18533
[INFO] 2025-09-08 16:02:50,228 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[INFO] 2025-09-08 16:02:50,342 basehttp "GET /admin/ HTTP/1.1" 200 7587
[INFO] 2025-09-08 16:02:50,489 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
[INFO] 2025-09-08 16:02:50,522 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[INFO] 2025-09-08 16:02:50,525 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[INFO] 2025-09-08 16:02:54,399 basehttp "GET /admin/campaigns/campaign/ HTTP/1.1" 200 10220
[INFO] 2025-09-08 16:02:54,477 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
[INFO] 2025-09-08 16:02:54,478 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8943
[INFO] 2025-09-08 16:02:54,500 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
[INFO] 2025-09-08 16:02:54,501 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6566
[INFO] 2025-09-08 16:02:54,501 basehttp "GET /static/admin/js/core.js HTTP/1.1" 200 5682
[INFO] 2025-09-08 16:02:54,506 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
[INFO] 2025-09-08 16:02:54,506 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
[INFO] 2025-09-08 16:02:54,508 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 292458
[INFO] 2025-09-08 16:02:54,514 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
[INFO] 2025-09-08 16:02:54,517 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 200 978
[INFO] 2025-09-08 16:02:54,531 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
[INFO] 2025-09-08 16:02:54,574 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 200 458
[INFO] 2025-09-08 16:02:54,598 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
[INFO] 2025-09-08 16:02:56,631 basehttp "GET /admin/campaigns/message/ HTTP/1.1" 200 10911
